报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231,20051231,20041231,20031231
单位,元,元,元,百万,百万,百万,百万,百万,元,百万
货币资金,3174943000000,2762156000000,2282999000000,1693048,1693024,1142346,703657,553873,508616000000,457816
资产总计,17542217000000,15476868000000,13458622000000,11785053,9757654,8684288,7509118,6457239,5072874000000,4560174
负债合计,16413758000000,14519045000000,12636965000000,11106119,9150516,8140036,7037685,6196255,5577369000000,5095658
资本公积,128524000000,126395000000,122820000000,102156,112243,106207,109701,2032,3818000000,5757
盈余公积,98063000000,74420000000,53782000000,37484,24650,13536,5464,375,14818000000,14810
未分配利润,372541000000,313334000000,201157000000,117931,72146,45440,5344,5009,-687837000000,-718592
