报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231
单位,元,元,元,元,百万,百万,元
销售商品、提供劳务收到的现金,0,0,0,0,0,0,0
经营活动现金流入小计,695354000000,525666000000,413456000000,544458000000,215206,413284,215479416000
支付给职工以及为职工支付的现金,21996000000,20285000000,15963000000,12674000000,8583,7244,4971167000
支付的各项税费,24903000000,17972000000,11308000000,9659000000,11044,7689,4851141000
购买商品、接受劳务支付的现金,0,0,0,0,0,0,0
经营活动现金流出小计,445641000000,424370000000,404567000000,501362000000,162537,294813,144259594000
经营活动产生的现金流量净额,249713000000,101296000000,8889000000,43096000000,52669,118471,71219822000
投资活动现金流入小计,930994000000,483612000000,2050551000000,1105923000000,2216299,903593,108470945000
投资活动现金流出小计,965203000000,542965000000,2076070000000,1150606000000,2267562,968982,159171047000
投资活动产生的现金流量净额,-34209000000,-59353000000,-25519000000,-44683000000,-51263,-65389,-50700102000
发行债券收到的现金,32847000000,0,0,1321000000,30000,0,21048954000
筹资活动现金流入小计,51010000000,29189000000,26344000000,6475000000,30971,1119,21048954000
筹资活动现金流出小计,32563000000,27729000000,15043000000,8277000000,11748,3285,4168424000
筹资活动产生的现金流量净额,18447000000,1460000000,11301000000,-1802000000,19223,-2166,16880530000
净利润,45277000000,36127000000,25769000000,18235000000,20946,15243,7107526000
现金及现金等价物净增加额,233704000000,41931000000,-6411000000,-3040000000,19640,48785,36755879000
