报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231
单位,元,元,元,百万,百万,百万,元
货币资金,471415000000,408304000000,294955000000,216167,181601,152647,86994050000
资产总计,3408219000000,2794971000000,2402507000000,2067941,1571797,1310552,934102238000
负债合计,3207712000000,2629961000000,2268501000000,1975158,1492016,1242568,878941714000
资本公积,37545000000,37665000000,36197000000,18169,21677,27074,27380036000
盈余公积,18618000000,14325000000,10880000000,8418,6653,4612,3087915000
未分配利润,85025000000,73508000000,49063000000,32123,25719,12093,3489313000
