报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231
单位,元,元,元,元,元,元,元
一、营业总收入,1450150016,2095020032,1779100032,937428992,858633024,660435968,549286976
二、营业总成本,1459139968,2046150016,1686509952,869640000,752611968,586800000,472995008
营业成本,1012920000,1617250048,1341090048,671769024,565852992,432401984,339116000
营业税金及附加,23499000,19967300,16541400,12681800,13265700,9132100,7934370
销售费用,36823100,48428000,40489900,21228200,19778100,16547600,16952800
管理费用,216670000,224634000,199763008,141107008,121372000,98195800,99758800
财务费用,135176000,132308000,84592304,20398200,23487400,13578900,15155400
资产减值损失,34054900,3567380,4036060,2455520,8855680,16944200,-5921840
投资收益,1616490,39112100,1797200,2695340,1915620,1065610,2193680
三、营业利润,-7371200,87983200,94383296,70484304,107936000,74701504,78485000
利润总额,22996900,112879000,99911200,90541296,108869000,86531296,76984800
所得税费用,57257700,21664800,25458100,24600000,13465400,18777400,15547800
四、净利润,-34260800,91214200,74453104,65941300,95403600,67753904,61437000
基本每股收益,0.1405,0.2439,0.19,0.1739,0.2618,0.1908,0.2118
