报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231,20051231
单位,元,元,元,元,元,元,元,元
一、营业总收入,68905803776,47036198912,35894099968,22986600448,15519899648,8115230208,4031209984,2364539904
二、营业总成本,55923601408,37053898752,28511700992,17767700480,11779000320,6269879808,3179549952,1707859968
营业成本,43972100096,29536800768,23645499392,14524099584,9188230144,4991099904,2587130112,1356160000
营业税金及附加,8120269824,5073379840,3584209920,2536430080,1545959936,839492992,315452000,155172992
销售费用,1645609984,1252530048,802836992,590780992,462403008,255596000,168302000,105061000
管理费用,1222700032,750334976,572539008,456716992,311208000,208206000,104394000,79125000
财务费用,892092992,390273984,-102416000,-66172900,-33216400,-31933800,-6874050,2586550
资产减值损失,70794200,50620700,9004170,-274064000,304444992,7420670,11142400,9751840
投资收益,411368992,-18188200,42002100,1632860,97089696,207460992,202479008,-13291500
三、营业利润,13393600512,9964090368,7424459776,5220299776,3836809984,2053849984,1054030016,643132992
利润总额,13532099584,10074099712,7404570112,5379049984,4023280128,2403089920,1050460032,642539008
所得税费用,3553530112,2706889984,1899299968,1371320064,979612992,774819968,316519008,231482000
四、净利润,9978600448,7367199744,5505280000,4007729920,3043670016,1628269952,733945984,411056992
基本每股收益,1.18,1.1,1.08,1.06,0.91,1.3,0.66,1
