key,open,highest,lowest,close,volumn,weight
81,2012/04/17,5.700,5.700,5.560,5.580,31000,5.580
82,2012/04/18,5.560,5.680,5.550,5.580,30000,5.580
83,2012/04/19,5.560,5.600,5.560,5.590,9800,5.590
84,2012/04/20,5.600,5.600,5.570,5.590,5700,5.590
85,2012/04/23,5.520,5.580,5.520,5.570,14700,5.570
86,2012/04/24,5.500,5.600,5.500,5.600,7000,5.600
87,2012/04/25,5.650,5.650,5.500,5.560,44100,5.560
88,2012/04/26,5.610,5.610,5.500,5.500,9000,5.500
89,2012/04/27,5.460,5.500,5.440,5.500,18000,5.500
90,2012/04/30,5.560,5.560,5.540,5.560,1800,5.560
91,2012/05/01,5.410,5.600,5.280,5.510,77500,5.510
92,2012/05/02,5.490,5.600,5.440,5.530,13000,5.530
93,2012/05/03,5.520,5.590,5.450,5.490,18000,5.490
94,2012/05/04,5.470,5.490,5.410,5.480,8300,5.480
95,2012/05/07,5.440,5.590,5.440,5.580,3500,5.580
96,2012/05/08,5.470,5.580,5.450,5.530,20500,5.530
97,2012/05/09,5.540,5.540,5.250,5.390,5000,5.390
98,2012/05/10,5.420,5.420,5.090,5.100,12200,5.100
99,2012/05/11,5.020,5.260,5.020,5.170,24000,5.170
100,2012/05/14,5.160,5.160,5.020,5.110,2700,5.110
101,2012/05/15,5.050,5.050,5.010,5.010,3400,5.010
102,2012/05/16,5.050,5.160,5.000,5.050,23500,5.050
103,2012/05/17,5.130,5.220,5.050,5.080,9200,5.080
104,2012/05/18,5.060,5.180,5.020,5.050,4600,5.050
105,2012/05/21,5.120,5.140,5.010,5.110,16300,5.110
106,2012/05/22,5.150,5.190,5.050,5.140,4000,5.140
107,2012/05/23,5.020,5.110,4.990,5.050,11000,5.050
108,2012/05/24,5.140,5.150,5.070,5.150,37000,5.150
109,2012/05/25,5.170,5.310,5.090,5.140,1500,5.140
110,2012/05/29,5.100,5.160,5.000,5.070,7500,5.070
111,2012/05/30,5.090,5.090,5.010,5.010,7600,5.010
112,2012/05/31,4.720,5.000,4.720,4.770,18900,4.770
113,2012/06/01,4.720,4.760,4.560,4.630,6800,4.630
114,2012/06/04,4.580,4.600,4.030,4.600,47400,4.600
