key,open,highest,lowest,close,volumn,weight
51,2012/03/05,620.430,622.490,611.380,614.250,1593300,614.250
52,2012/03/06,608.050,608.810,593.840,604.960,3174400,604.960
53,2012/03/07,609.050,611.190,605.860,606.800,1264500,606.800
54,2012/03/08,610.040,611.500,606.350,607.140,1345500,607.140
55,2012/03/09,607.950,611.900,600.000,600.250,2670600,600.250
56,2012/03/12,600.000,607.000,599.260,605.150,1669000,605.150
57,2012/03/13,608.750,617.850,605.550,617.780,2245800,617.780
58,2012/03/14,615.000,622.780,613.460,615.990,2936900,615.990
59,2012/03/15,616.600,623.500,614.830,621.130,2435100,621.130
60,2012/03/16,620.890,625.910,620.050,625.040,3050500,625.040
61,2012/03/19,623.120,637.270,621.240,633.980,2172800,633.980
62,2012/03/20,630.920,636.060,627.270,633.490,1540500,633.490
63,2012/03/21,634.610,647.390,632.510,639.980,2469600,639.980
64,2012/03/22,638.500,648.800,631.000,646.050,2410200,646.050
65,2012/03/23,646.600,648.500,640.900,642.590,1940200,642.590
66,2012/03/26,645.000,649.490,639.540,649.330,1819200,649.330
67,2012/03/27,647.030,653.500,644.800,647.020,2007200,647.020
68,2012/03/28,652.030,658.590,651.080,655.760,2538900,655.760
69,2012/03/29,653.440,656.590,644.300,648.410,1924300,648.410
70,2012/03/30,651.750,653.490,641.000,641.240,2310700,641.240
71,2012/04/02,640.770,647.500,634.840,646.920,2284200,646.920
72,2012/04/03,645.410,647.950,638.640,642.620,2044900,642.620
73,2012/04/04,638.450,639.000,631.100,635.150,1627600,635.150
74,2012/04/05,632.240,636.430,628.570,632.320,2318700,632.320
75,2012/04/09,628.480,635.330,625.290,630.840,2182700,630.840
76,2012/04/10,633.520,634.500,624.550,626.860,2482000,626.860
77,2012/04/11,633.970,636.000,631.300,635.960,2199000,635.960
78,2012/04/12,642.350,653.140,640.260,651.010,5756600,651.010
79,2012/04/13,647.550,648.990,623.540,624.600,8159300,624.600
80,2012/04/16,623.000,623.810,601.660,606.070,5692100,606.070
81,2012/04/17,608.560,617.690,607.010,609.570,3023900,609.570
82,2012/04/18,608.050,612.800,602.810,607.450,2669500,607.450
83,2012/04/19,605.690,616.260,599.000,599.300,3294600,599.300
84,2012/04/20,604.250,608.850,595.830,596.060,3058400,596.060
85,2012/04/23,592.900,598.450,590.200,597.600,2197800,597.600
86,2012/04/24,598.240,606.630,597.320,601.270,1929100,601.270
87,2012/04/25,604.000,611.350,602.880,609.720,1821100,609.720
88,2012/04/26,610.910,618.000,609.700,615.470,2092500,615.470
89,2012/04/27,615.020,616.740,610.600,614.980,1636400,614.980
90,2012/04/30,612.990,616.080,600.610,604.850,2407300,604.850
91,2012/05/01,603.790,611.600,600.190,604.430,2002300,604.430
92,2012/05/02,601.200,608.110,600.610,607.260,1611500,607.260
93,2012/05/03,609.620,614.830,608.950,611.020,1868000,611.020
94,2012/05/04,605.920,607.890,596.810,596.970,2207400,596.970
95,2012/05/07,595.000,610.570,595.000,607.550,1994500,607.550
96,2012/05/08,605.530,616.900,600.700,612.790,2677300,612.790
97,2012/05/09,606.820,616.380,601.810,609.150,2328800,609.150
98,2012/05/10,612.960,616.190,610.230,613.660,1535900,613.660
99,2012/05/11,610.350,614.550,604.770,605.230,2099400,605.230
100,2012/05/14,600.780,608.500,600.580,604.000,1824400,604.000
101,2012/05/15,605.350,615.000,603.750,611.110,2102100,611.110
102,2012/05/16,617.960,630.100,615.940,628.930,4835100,628.930
103,2012/05/17,633.830,637.850,621.230,623.050,3353800,623.050
104,2012/05/18,625.100,632.420,596.700,600.400,5973500,600.400
105,2012/05/21,600.510,615.690,600.000,614.110,3075400,614.110
106,2012/05/22,613.440,613.810,596.000,600.800,3051900,600.800
107,2012/05/23,601.650,609.600,597.120,609.460,3178100,609.460
108,2012/05/24,609.160,611.920,598.870,603.660,1891300,603.660
109,2012/05/25,601.000,601.730,588.280,591.530,3581900,591.530
110,2012/05/29,595.810,599.130,588.320,594.340,2605700,594.340
111,2012/05/30,588.160,591.900,583.530,588.230,1906700,588.230
112,2012/05/31,588.720,590.000,579.000,580.860,2968300,580.860
113,2012/06/01,571.790,572.650,568.350,570.980,3057900,570.980
114,2012/06/04,570.220,580.490,570.010,578.590,2432700,578.590
115,2012/06/05,575.450,578.130,566.470,570.410,2339900,570.410
116,2012/06/06,576.480,581.970,573.610,580.570,2095800,580.570
117,2012/06/07,587.600,587.890,577.250,578.230,1758500,578.230
118,2012/06/08,575.850,581.000,574.580,580.450,1410400,580.450
119,2012/06/11,584.210,585.320,566.690,568.500,2661100,568.500
120,2012/06/12,569.770,570.300,558.580,565.100,3224200,565.100
121,2012/06/13,561.720,567.000,558.680,561.090,1954200,561.090
122,2012/06/14,561.300,565.070,556.520,559.050,2344900,559.050
123,2012/06/15,560.340,564.520,557.090,564.510,3001200,564.510
124,2012/06/18,562.620,574.210,559.250,570.850,2496900,570.850
125,2012/06/19,573.590,584.280,573.120,581.530,2076200,581.530
126,2012/06/20,579.810,580.000,573.510,577.510,2346700,577.510
127,2012/06/21,579.840,579.840,563.730,565.210,2011300,565.210
128,2012/06/22,568.000,571.480,565.820,571.480,2227900,571.480
129,2012/06/25,567.330,568.090,557.350,560.700,1581600,560.700
130,2012/06/26,562.760,566.600,559.480,564.680,1350200,564.680
131,2012/06/27,567.700,573.990,566.020,569.300,1692300,569.300
132,2012/06/28,565.900,566.230,557.210,564.310,1920900,564.310
133,2012/06/29,574.960,580.130,572.200,580.070,2519500,580.070
134,2012/07/02,581.820,583.000,576.500,580.470,1655500,580.470
135,2012/07/03,580.010,588.410,578.000,587.830,1189500,587.830
136,2012/07/05,588.760,600.060,588.540,595.920,2345900,595.920
137,2012/07/06,592.450,593.520,582.820,585.980,2161800,585.980
138,2012/07/09,584.950,588.600,581.250,586.010,1715100,586.010
139,2012/07/10,590.190,592.430,578.740,581.700,1923100,581.700
140,2012/07/11,576.300,577.850,564.940,571.190,3499300,571.190
141,2012/07/12,567.120,571.930,562.090,570.480,2309800,570.480
142,2012/07/13,572.150,579.150,568.550,576.520,1976000,576.520
143,2012/07/16,576.370,579.190,571.780,574.920,1462600,574.920
144,2012/07/17,578.430,580.670,568.400,576.730,1680100,576.730
145,2012/07/18,576.980,583.690,576.130,580.760,1548200,580.760
146,2012/07/19,586.140,598.480,586.000,593.060,4674700,593.060
147,2012/07/20,608.760,612.940,598.180,610.820,6463700,610.820
148,2012/07/23,600.480,618.350,598.250,615.510,3561700,615.510
149,2012/07/24,615.000,617.930,604.340,607.570,2009400,607.570
150,2012/07/25,608.320,613.380,605.370,607.990,1823000,607.990
151,2012/07/26,615.000,616.870,610.030,613.360,1685200,613.360
152,2012/07/27,618.890,635.000,617.500,634.960,3549700,634.960
153,2012/07/30,636.050,642.600,629.500,632.300,2186700,632.300
154,2012/07/31,628.260,636.500,628.220,632.970,1865600,632.970
155,2012/08/01,637.300,639.510,631.380,632.680,1844600,632.680
156,2012/08/02,625.510,638.030,623.410,628.750,1977700,628.750
157,2012/08/03,640.000,643.720,636.140,641.330,1897100,641.330
158,2012/08/06,639.610,649.380,639.220,642.820,1782400,642.820
159,2012/08/07,641.790,644.260,636.470,640.540,1981800,640.540
160,2012/08/08,639.050,645.870,638.500,642.230,1322200,642.230
161,2012/08/09,644.510,646.370,641.520,642.350,1070300,642.350
162,2012/08/10,638.590,642.240,636.130,642.000,1434600,642.000
163,2012/08/13,647.420,660.150,646.680,660.010,3267900,660.010
164,2012/08/14,659.250,672.850,659.000,668.660,3661700,668.660
165,2012/08/15,670.280,674.250,664.100,667.540,2410700,667.540
166,2012/08/16,667.510,674.640,667.080,672.870,1717700,672.870
167,2012/08/17,674.120,677.250,671.700,677.140,2177700,677.140
168,2012/08/20,675.500,678.870,672.660,675.540,1758100,675.540
169,2012/08/21,673.110,678.000,662.170,669.510,2222200,669.510
170,2012/08/22,667.380,680.600,666.700,677.180,1909200,677.180
171,2012/08/23,674.270,680.480,671.000,676.800,1784200,676.800
172,2012/08/24,675.600,680.450,674.080,678.630,1426600,678.630
173,2012/08/27,662.990,672.000,659.240,669.220,2613700,669.220
174,2012/08/28,665.000,677.620,664.740,677.250,2058600,677.250
175,2012/08/29,677.370,688.990,676.150,688.010,2990300,688.010
176,2012/08/30,684.240,687.390,680.180,681.680,1626900,681.680
177,2012/08/31,684.000,688.580,680.040,685.090,2127100,685.090
178,2012/09/04,684.550,685.000,673.500,681.040,1889600,681.040
179,2012/09/05,680.000,686.500,679.140,680.720,1708200,680.720
180,2012/09/06,685.960,699.890,684.730,699.400,3043500,699.400
181,2012/09/07,700.000,712.250,697.670,706.150,3233000,706.150
182,2012/09/10,709.760,712.810,698.390,700.770,2560000,700.770
183,2012/09/11,697.960,700.650,691.000,692.190,1873800,692.190
184,2012/09/12,689.410,694.910,680.880,690.880,2642300,690.880
185,2012/09/13,693.090,709.000,690.540,706.040,2659000,706.040
186,2012/09/14,709.600,713.000,707.010,709.680,2618500,709.680
187,2012/09/17,708.110,712.880,705.000,709.980,1508300,709.980
188,2012/09/18,707.780,718.660,706.780,718.280,2066800,718.280
189,2012/09/19,717.500,728.560,716.410,727.500,3098300,727.500
190,2012/09/20,724.470,731.380,721.220,728.120,2907400,728.120
191,2012/09/21,732.210,734.920,730.120,733.990,6359100,733.990
192,2012/09/24,731.000,750.040,730.250,749.380,3563800,749.380
193,2012/09/25,753.050,764.890,747.660,749.160,6058500,749.160
194,2012/09/26,749.850,761.240,741.000,753.460,5672900,753.460
195,2012/09/27,759.950,762.840,751.650,756.500,3931100,756.500
196,2012/09/28,754.150,759.300,751.150,754.500,2783500,754.500
197,2012/10/01,759.050,765.000,756.210,761.780,3168000,761.780
198,2012/10/02,765.200,765.990,750.270,756.990,2790200,756.990
