报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231
单位,元,元,元,元,元,元,元
货币资金,413316000,349976000,227850000,240474000,163027008,219310000,261975008
应收和预付,243745808,169531936,158092288,173481184,175086144,125938224,121155576
存货,560486976,369088992,335894016,333063008,295896992,204274000,157292000
流动资产合计,1217549952,888596992,721932032,752064000,634011008,549521984,542910976
固定资产净值,191804000,166530000,161434000,185663008,169160992,158750000,83131000
非流动资产合计,1013230016,680083008,724897984,532476000,436528000,421353984,230116992
资产总计,2230769920,1568679936,1446829952,1284540032,1070540032,970876032,773027968
短期借款,48246000,103567000,87545296,212608992,170000000,72000000,4000000
应付和预收,191767584,139966912,142792416,132804896,129374056,118599888,90356720
一年内到期的非流动负债,0,39000000,0,0,0,0,0
流动负债合计,262775008,309272992,249114000,351872000,295872000,180036000,101623000
非流动负债合计,412447008,70422096,113852000,75482000,22573000,31989900,19557800
负债合计,675222976,379695008,362967008,427353984,318444992,212026000,121181000
实收资本(或股本),140000000,140000000,140000000,140000000,140000000,140000000,140000000
资本公积,507512000,410353984,466668000,366812000,321990016,390776000,315960992
盈余公积,176704992,143118000,118636000,99953296,87207904,73223400,64039100
未分配利润,677795968,459609984,325980992,219644000,178748992,120889000,90174096
所有者权益(或股东权益)合计,1555549952,1188989952,1083859968,857185984,752092992,758851008,651846976
负债和所有者权益(或股东权益)总计,2230769920,1568679936,1446829952,1284540032,1070540032,970876032,773027968
