报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231
单位,元,元,元,元,元,元,元
一、营业总收入,32863399936,23918499840,19592499200,12098199552,9762029568,7487479808,3563840000
二、营业总成本,27553900544,18951600128,15471299584,9645639680,8240529920,5700610048,3004920064
营业成本,22332100608,14655699968,12133699584,7656960000,5550900224,4204450048,2170459904
营业税金及附加,3001570048,2418340096,2015939968,1175410048,1191040000,823593984,444950016
销售费用,839497024,949723008,514351008,411540992,408099008,212203008,134516000
管理费用,843073984,902102016,824492032,495588992,478672000,400443008,257828000
财务费用,97843104,21259100,32141200,180236992,253342000,58999900,-2848140
资产减值损失,439854016,4517150,-49314500,-274094016,358484000,924549,14544.8
投资收益,108659000,11602500,84676496,18616000,11489800,1569200,90203696
三、营业利润,5418080256,4978509824,4205900032,2471150080,1532979968,1788440064,649123968
利润总额,5888679936,4994330112,4226240000,2498089984,1541720064,1797270016,674681024
所得税费用,1596659968,1253449984,1093410048,564689024,447408000,474456992,127540000
四、净利润,4292019968,3740869888,3132839936,1933400064,1094310016,1322809984,547140992
基本每股收益,0.76,0.67,0.6,0.78,0.5,1.31,0.71
